x,y,z,ri,n_ok,n_total,down
0.005000,-0.525000,0.015000,0.1667,4,24,0
0.005000,-0.525000,0.025000,0.2500,6,24,0
0.005000,-0.525000,0.035000,0.2083,5,24,0
0.005000,-0.525000,0.045000,0.3333,8,24,0
0.005000,-0.525000,0.055000,0.2500,6,24,0
0.005000,-0.515000,-0.045000,0.1250,3,24,0
0.005000,-0.515000,-0.035000,0.1667,4,24,0
0.005000,-0.515000,-0.025000,0.1250,3,24,0
0.005000,-0.515000,-0.015000,0.0833,2,24,0
0.005000,-0.515000,-0.005000,0.1250,3,24,0
0.005000,-0.515000,0.005000,0.0833,2,24,0
0.005000,-0.515000,0.015000,0.1250,3,24,0
0.005000,-0.515000,0.025000,0.3333,8,24,0
0.005000,-0.515000,0.035000,0.3333,8,24,0
0.005000,-0.515000,0.045000,0.2917,7,24,0
0.005000,-0.515000,0.055000,0.2500,6,24,0
0.005000,-0.505000,-0.045000,0.1667,4,24,0
0.005000,-0.505000,-0.035000,0.1667,4,24,0
0.005000,-0.505000,-0.025000,0.1250,3,24,0
0.005000,-0.505000,-0.015000,0.1667,4,24,0
0.005000,-0.505000,-0.005000,0.1667,4,24,0
0.005000,-0.505000,0.005000,0.0833,2,24,0
0.005000,-0.505000,0.015000,0.0000,0,24,0
0.005000,-0.505000,0.025000,0.0417,1,24,0
0.005000,-0.505000,0.035000,0.1667,4,24,0
0.005000,-0.505000,0.045000,0.3333,8,24,0
0.005000,-0.505000,0.055000,0.2917,7,24,0
0.005000,-0.495000,-0.045000,0.0833,2,24,0
0.005000,-0.495000,-0.035000,0.1250,3,24,0
0.005000,-0.495000,-0.025000,0.0417,1,24,0
0.005000,-0.495000,-0.015000,0.1250,3,24,0
0.005000,-0.495000,-0.005000,0.0833,2,24,0
0.005000,-0.495000,0.005000,0.1250,3,24,0
0.005000,-0.495000,0.015000,0.1250,3,24,0
0.005000,-0.495000,0.025000,0.0833,2,24,0
0.005000,-0.495000,0.035000,0.1667,4,24,0
0.005000,-0.495000,0.045000,0.2917,7,24,0
0.005000,-0.495000,0.055000,0.2083,5,24,0
0.005000,-0.485000,-0.045000,0.0833,2,24,0
0.005000,-0.485000,-0.035000,0.1250,3,24,0
0.005000,-0.485000,-0.025000,0.0833,2,24,0
0.005000,-0.485000,-0.015000,0.1667,4,24,0
0.005000,-0.485000,-0.005000,0.0417,1,24,0
0.005000,-0.485000,0.005000,0.0833,2,24,0
0.005000,-0.485000,0.015000,0.1250,3,24,0
0.005000,-0.485000,0.025000,0.0833,2,24,0
0.005000,-0.485000,0.035000,0.1250,3,24,0
0.005000,-0.485000,0.045000,0.2500,6,24,0
0.005000,-0.485000,0.055000,0.2917,7,24,0
0.005000,-0.475000,-0.045000,0.0417,1,24,0
0.005000,-0.475000,-0.035000,0.0833,2,24,0
0.005000,-0.475000,-0.025000,0.0417,1,24,0
0.005000,-0.475000,-0.015000,0.1667,4,24,0
0.005000,-0.475000,-0.005000,0.1250,3,24,0
0.005000,-0.475000,0.005000,0.0833,2,24,0
0.005000,-0.475000,0.015000,0.0833,2,24,0
0.005000,-0.475000,0.025000,0.1667,4,24,0
0.005000,-0.475000,0.035000,0.1250,3,24,0
0.005000,-0.475000,0.045000,0.2083,5,24,0
0.005000,-0.475000,0.055000,0.2500,6,24,0
0.005000,-0.465000,-0.045000,0.0417,1,24,0
0.005000,-0.465000,-0.035000,0.0417,1,24,0
0.005000,-0.465000,-0.025000,0.1250,3,24,0
0.005000,-0.465000,-0.015000,0.0833,2,24,0
0.005000,-0.465000,-0.005000,0.1250,3,24,0
0.005000,-0.465000,0.005000,0.1250,3,24,0
0.005000,-0.465000,0.015000,0.1667,4,24,0
0.005000,-0.465000,0.025000,0.1250,3,24,0
0.005000,-0.465000,0.035000,0.0417,1,24,0
0.005000,-0.465000,0.045000,0.1667,4,24,0
0.005000,-0.465000,0.055000,0.2500,6,24,0
0.005000,-0.455000,-0.045000,0.0833,2,24,0
0.005000,-0.455000,-0.035000,0.0833,2,24,0
0.005000,-0.455000,-0.025000,0.0000,0,24,0
0.005000,-0.455000,-0.015000,0.0833,2,24,0
0.005000,-0.455000,-0.005000,0.0000,0,24,0
0.005000,-0.455000,0.005000,0.0417,1,24,0
0.005000,-0.455000,0.015000,0.1667,4,24,0
0.005000,-0.455000,0.025000,0.1250,3,24,0
0.005000,-0.455000,0.035000,0.0417,1,24,0
0.005000,-0.455000,0.045000,0.0833,2,24,0
0.005000,-0.455000,0.055000,0.2083,5,24,0
0.005000,-0.445000,-0.045000,0.0833,2,24,0
0.005000,-0.445000,-0.035000,0.0417,1,24,0
0.005000,-0.445000,-0.025000,0.0417,1,24,0
0.005000,-0.445000,-0.015000,0.0833,2,24,0
0.005000,-0.445000,-0.005000,0.0000,0,24,0
0.005000,-0.445000,0.005000,0.0417,1,24,0
0.005000,-0.445000,0.015000,0.1667,4,24,0
0.005000,-0.445000,0.025000,0.0833,2,24,0
0.005000,-0.445000,0.035000,0.0833,2,24,0
0.005000,-0.445000,0.045000,0.1667,4,24,0
0.005000,-0.445000,0.055000,0.1667,4,24,0
0.005000,-0.435000,-0.045000,0.0833,2,24,0
0.005000,-0.435000,-0.035000,0.0833,2,24,0
0.005000,-0.435000,-0.025000,0.0417,1,24,0
0.005000,-0.435000,-0.015000,0.0000,0,24,0
0.005000,-0.435000,-0.005000,0.0833,2,24,0
0.005000,-0.435000,0.005000,0.0417,1,24,0
0.005000,-0.435000,0.015000,0.0000,0,24,0
0.005000,-0.435000,0.025000,0.1250,3,24,0
0.005000,-0.435000,0.035000,0.1667,4,24,0
0.005000,-0.435000,0.045000,0.2083,5,24,0
0.005000,-0.435000,0.055000,0.2083,5,24,0
0.005000,-0.425000,-0.045000,0.0833,2,24,0
0.005000,-0.425000,-0.035000,0.0000,0,24,0
0.005000,-0.425000,-0.025000,0.0833,2,24,0
0.005000,-0.425000,-0.015000,0.0000,0,24,0
0.005000,-0.425000,-0.005000,0.0417,1,24,0
0.005000,-0.425000,0.005000,0.0833,2,24,0
0.005000,-0.425000,0.015000,0.0833,2,24,0
0.005000,-0.425000,0.025000,0.0417,1,24,0
0.005000,-0.425000,0.035000,0.1667,4,24,0
0.005000,-0.425000,0.045000,0.2083,5,24,0
0.005000,-0.425000,0.055000,0.2500,6,24,0
0.005000,-0.415000,-0.045000,0.0000,0,24,0
0.005000,-0.415000,-0.035000,0.0000,0,24,0
0.005000,-0.415000,-0.025000,0.0417,1,24,0
0.005000,-0.415000,-0.015000,0.0833,2,24,0
0.005000,-0.415000,-0.005000,0.0833,2,24,0
0.005000,-0.415000,0.005000,0.0417,1,24,0
0.005000,-0.415000,0.015000,0.0000,0,24,0
0.005000,-0.415000,0.025000,0.0833,2,24,0
0.005000,-0.415000,0.035000,0.1250,3,24,0
0.005000,-0.415000,0.045000,0.2500,6,24,0
0.005000,-0.415000,0.055000,0.2500,6,24,0
0.005000,-0.405000,-0.045000,0.0833,2,24,0
0.005000,-0.405000,-0.035000,0.0000,0,24,0
0.005000,-0.405000,-0.025000,0.0833,2,24,0
0.005000,-0.405000,-0.015000,0.0833,2,24,0
0.005000,-0.405000,-0.005000,0.0000,0,24,0
0.005000,-0.405000,0.005000,0.0833,2,24,0
0.005000,-0.405000,0.015000,0.0000,0,24,0
0.005000,-0.405000,0.025000,0.0417,1,24,0
0.005000,-0.405000,0.035000,0.0833,2,24,0
0.005000,-0.405000,0.045000,0.2500,6,24,0
0.005000,-0.405000,0.055000,0.2500,6,24,0
0.005000,-0.395000,-0.045000,0.0000,0,24,0
0.005000,-0.395000,-0.035000,0.0417,1,24,0
0.005000,-0.395000,-0.025000,0.0833,2,24,0
0.005000,-0.395000,-0.015000,0.0000,0,24,0
0.005000,-0.395000,-0.005000,0.0833,2,24,0
0.005000,-0.395000,0.005000,0.0417,1,24,0
0.005000,-0.395000,0.015000,0.0417,1,24,0
0.005000,-0.395000,0.025000,0.0833,2,24,0
0.005000,-0.395000,0.035000,0.0833,2,24,0
0.005000,-0.395000,0.045000,0.2083,5,24,0
0.005000,-0.395000,0.055000,0.2500,6,24,0
0.005000,-0.385000,-0.045000,0.0833,2,24,0
0.005000,-0.385000,-0.035000,0.0833,2,24,0
0.005000,-0.385000,-0.025000,0.0000,0,24,0
0.005000,-0.385000,-0.015000,0.0000,0,24,0
0.005000,-0.385000,-0.005000,0.0000,0,24,0
0.005000,-0.385000,0.005000,0.0833,2,24,0
0.005000,-0.385000,0.015000,0.0000,0,24,0
0.005000,-0.385000,0.025000,0.1250,3,24,0
0.005000,-0.385000,0.035000,0.0417,1,24,0
0.005000,-0.385000,0.045000,0.0833,2,24,0
0.005000,-0.385000,0.055000,0.1667,4,24,0
0.005000,-0.375000,-0.045000,0.0000,0,24,0
0.005000,-0.375000,-0.035000,0.0833,2,24,0
0.005000,-0.375000,-0.025000,0.0833,2,24,0
0.005000,-0.375000,-0.015000,0.0833,2,24,0
0.005000,-0.375000,-0.005000,0.0000,0,24,0
0.005000,-0.375000,0.005000,0.0417,1,24,0
0.005000,-0.375000,0.015000,0.0833,2,24,0
0.005000,-0.375000,0.025000,0.1667,4,24,0
0.005000,-0.375000,0.035000,0.1667,4,24,0
0.005000,-0.375000,0.045000,0.1667,4,24,0
0.005000,-0.375000,0.055000,0.1250,3,24,0
0.005000,-0.365000,-0.045000,0.0833,2,24,0
0.005000,-0.365000,-0.035000,0.0417,1,24,0
0.005000,-0.365000,-0.025000,0.0833,2,24,0
0.005000,-0.365000,-0.015000,0.0000,0,24,0
0.005000,-0.365000,-0.005000,0.0417,1,24,0
0.005000,-0.365000,0.005000,0.0833,2,24,0
0.005000,-0.365000,0.015000,0.0000,0,24,0
0.005000,-0.365000,0.025000,0.1667,4,24,0
0.005000,-0.365000,0.035000,0.1667,4,24,0
0.005000,-0.365000,0.045000,0.1250,3,24,0
0.005000,-0.365000,0.055000,0.1667,4,24,0
0.005000,-0.355000,-0.045000,0.0833,2,24,0
0.005000,-0.355000,-0.035000,0.0833,2,24,0
0.005000,-0.355000,-0.025000,0.0833,2,24,0
0.005000,-0.355000,-0.015000,0.0000,0,24,0
0.005000,-0.355000,-0.005000,0.0833,2,24,0
0.005000,-0.355000,0.005000,0.0417,1,24,0
0.005000,-0.355000,0.015000,0.0000,0,24,0
0.005000,-0.355000,0.025000,0.0833,2,24,0
0.005000,-0.355000,0.035000,0.0417,1,24,0
0.005000,-0.355000,0.045000,0.0417,1,24,0
0.005000,-0.355000,0.055000,0.1667,4,24,0
0.005000,-0.345000,-0.045000,0.0833,2,24,1
0.005000,-0.345000,-0.035000,0.0417,1,24,0
0.005000,-0.345000,-0.025000,0.0833,2,24,0
0.005000,-0.345000,-0.015000,0.0000,0,24,0
0.005000,-0.345000,-0.005000,0.0000,0,24,0
0.005000,-0.345000,0.005000,0.0000,0,24,0
0.005000,-0.345000,0.015000,0.0417,1,24,0
0.005000,-0.345000,0.025000,0.0833,2,24,0
0.005000,-0.345000,0.035000,0.0833,2,24,0
0.005000,-0.345000,0.045000,0.0833,2,24,0
